LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
NuExtract:4B,11,37.0,10.0,6.0,22.22222222222222,13.953488372093023,17.142857142857142,11.538461538461538,True,NYGH,None,True
NuExtract:4B,10,28.0,9,9,32.142857142857146,24.324324324324326,27.69230769230769,19.565217391304348,True,SickKids,None,False
NuExtract:4B,13,41.0,7,6,23.076923076923077,12.76595744680851,16.438356164383563,11.11111111111111,True,Kingston,None,True
NuExtract:4B,12,34.0,6,8,30.76923076923077,19.047619047619047,23.52941176470588,16.666666666666664,True,MtSinai,None,False
NuExtract:4B,17,44.0,11,14,33.33333333333333,24.137931034482758,27.999999999999996,20.28985507246377,True,Kingston,None,False
NuExtract:4B,14,39.0,8,5,18.51851851851852,11.363636363636363,14.084507042253522,9.615384615384617,True,Hamilton,None,True
NuExtract:4B,12,43.0,8,7,25.925925925925924,14.000000000000002,18.181818181818183,12.068965517241379,True,MtSinai,None,True
NuExtract:4B,12,50.0,5.0,12.0,41.37931034482759,19.35483870967742,26.373626373626376,18.181818181818183,True,SickKids,None,True
NuExtract:4B,14,24.0,4.0,11.0,37.93103448275862,31.428571428571427,34.37499999999999,28.947368421052634,True,CHEO,None,False
NuExtract:4B,12,25.0,9.0,7.0,25.0,21.875,23.333333333333332,17.5,True,Kingston,None,True
NuExtract:4B,28,74.0,15.0,17.0,28.333333333333332,18.681318681318682,22.516556291390728,16.19047619047619,True,MtSinai,None,True
NuExtract:4B,12,40.0,7,9,32.142857142857146,18.367346938775512,23.376623376623378,16.071428571428573,True,Kingston,None,False
NuExtract:4B,16,38.0,7.0,6.0,20.689655172413794,13.636363636363635,16.438356164383563,12.0,True,CHEO,None,True
NuExtract:4B,10,25.0,9,8,29.629629629629626,24.242424242424242,26.666666666666664,19.047619047619047,True,NYGH,None,True
NuExtract:4B,12,25.0,8,7,25.925925925925924,21.875,23.72881355932203,17.5,True,MtSinai,None,True
NuExtract:4B,17,50.0,12,13,30.952380952380953,20.634920634920633,24.761904761904763,17.333333333333336,True,Kingston,None,False
NuExtract:4B,12,36.0,9.0,8.0,27.586206896551722,18.181818181818183,21.917808219178085,15.384615384615385,True,SickKids,None,False
NuExtract:4B,11,32.0,10.0,7.0,25.0,17.94871794871795,20.895522388059703,14.583333333333334,True,NYGH,None,True
NuExtract:4B,12,49.0,10.0,7.0,24.137931034482758,12.5,16.470588235294116,10.9375,True,SickKids,None,True
NuExtract:4B,14,41.0,4,11,37.93103448275862,21.153846153846153,27.160493827160494,19.642857142857142,True,CHEO,None,False
NuExtract:4B,2,62.0,0,0,0.0,0.0,0.0,0.0,True,NYGH,None,True
NuExtract:4B,10,28.0,3,15,53.57142857142857,34.883720930232556,42.25352112676056,32.608695652173914,True,Hamilton,None,False
NuExtract:4B,16,33.0,14,12,28.57142857142857,26.666666666666668,27.586206896551722,20.33898305084746,True,Kingston,None,True
NuExtract:4B,15,52.0,21.0,8.0,18.181818181818183,13.333333333333334,15.384615384615387,10.126582278481013,True,SickKids,None,True
NuExtract:4B,14,44.0,5.0,10.0,34.48275862068966,18.51851851851852,24.096385542168676,17.24137931034483,True,CHEO,None,False
NuExtract:4B,12,23.0,10,7,24.137931034482758,23.333333333333332,23.728813559322035,17.5,True,SickKids,None,True
NuExtract:4B,14,24.0,10,4,14.285714285714285,14.285714285714285,14.285714285714285,10.526315789473683,True,Hamilton,None,True
NuExtract:4B,10,44.0,3,13,50.0,22.807017543859647,31.325301204819276,21.666666666666668,True,Hamilton,None,False
NuExtract:4B,12,74.0,7.0,8.0,29.629629629629626,9.75609756097561,14.678899082568805,9.090909090909092,True,Hamilton,None,True
